numero_da_ocorrencia,classificacao_da_ocorrencia,data_da_ocorrencia,municipio,uf,regiao,tipo_de_ocorrencia,categoria_da_aeronave,fase_da_operacao,tipo_de_operacao,danos_a_aeronave,modelo,nome_do_fabricante,lesoes_fatais,lesoes_graves,lesoes_leves,ilesos,lesoes_desconhecidas,ano_da_ocorrencia,categoria_descritivo,danos_aeronave
30125,Acidente,2021-11-07,SÃO JOSÉ DE MIPIBU,RN,Nordeste,PERDA DE CONTROLE EM VOO,PET,Arremetida,Voo Privado,Destruída,Adventure,Trike Icaros Ind. Aeronáutica Ltda,0,,0,0,0,2021,Protótipo Experimental,6 - Destruída
33226,Acidente,2022-07-27,CONDEÚBA,BA,Nordeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,ADE,Corrida após pouso,Voo não regular,Substancial,EMB-810D,NEIVA,0,,0,0,0,2022,Aeronave de Demonstração,5 - Substancial
28923,Acidente,2021-07-24,TUPI PAULISTA,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,PET,Cruzeiro,Voo Privado,Substancial,PIX,SERGIO LEMOS SOLHA,0,,0,0,0,2021,Protótipo Experimental,5 - Substancial
28927,Incidente Grave,2021-07-25,BRAGANÇA PAULISTA,SP,Sudeste,MANOBRA ABRUPTA,PRI,Arremetida,Voo de Instrução,Leve,PA-11,PIPER AIRCRAFT,0,,0,0,0,2021,Privada Instrução (Aeroclubes e Escolas de Aviação),4 - Leve
37288,Incidente Grave,2023-05-16,SÃO DESIDÉRIO ,BA,Nordeste,EXCURSÃO DE PISTA,TPP,Corrida após pouso,Operação Agrícola,Leve,AT-502B,AIR TRACTOR,0,,0,0,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),4 - Leve
45568,Acidente,2024-04-09,SANTA CRUZ DO RIO PARDO,SP,Sudeste,RELACIONADO COM SECURITY,TPP,Indeterminada,Voo Privado,Substancial,182J,CESSNA AIRCRAFT,0,,0,0,0,2024,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
45901,Acidente,2024-06-04,NOVO SÃO JOAQUIM,MT,Centro-Oeste,OUTROS,TPP,Decolagem,Operação Agrícola,Substancial,EMB-202A,EMBRAER,0,,0,0,0,2024,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
45901,Acidente,2024-06-04,NOVO SÃO JOAQUIM,MT,Centro-Oeste,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,TPP,Decolagem,Operação Agrícola,Substancial,EMB-202A,EMBRAER,0,,0,0,0,2024,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
28728,Acidente,2021-07-09,BRAGANÇA PAULISTA,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,PRI,Subida,Voo de Instrução,Substancial,56-C-1,NEIVA,0,,0,0,0,2021,Privada Instrução (Aeroclubes e Escolas de Aviação),5 - Substancial
28723,Acidente,2021-07-04,ONÇA DE PITANGUI,MG,Sudeste,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,TPP,Táxi,Voo Privado,Substancial,EC 130 T2,AIRBUS HELICOPTERS,0,,0,0,0,2021,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
28726,Incidente Grave,2021-07-10,PORTO SEGURO,BA,Nordeste,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,TPP,Aproximação,Voo Privado,Substancial,B200GT,TEXTRON AVIATION,0,,0,0,0,2021,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
